Id;N по каталогу;Категория;Название товара рус;Название товара eng;Объем;Родительский товар;Бренд;Линия;Цена закупки;Цена;Цена со скидкой;Артикул;Активность;Короткое описание;Поставщик;Страна производства;Изготовитель;Цвет через запятую
;593;Косметика;Глубокий очищающий гель;Deep Cleanser ;200 мл;;INNOAESTHETICS;INNO-DERMA;306 000;306 000;;ID102;;Глубокий очиститель от INNO-DERMA - специальное мыло, предназначенное для очищения себорейной кожи лица, а также кожи, которой необходимо глубокое очищение перед процедурой. Благодаря гликолевой кислоте, данное средство устраняет поверхностные слои кожи, регулирует кератинизацию эпидермиса и моделирует эксфолиацию. В результате происходит истончение рогового слоя, что делает кожу более ухоженной, молодой и свежей. Этот активный ингредиент также стимулирует обновление эпидермиса, возвращая коже естественное сияние, увеличивая производство коллагена и протеогликанов, которые повышают эластичность кожи.;;Испания;;
;594;Косметика;Биоревитализирующая сыворотка;Bio C Serum (Biorevitalizing Serum);4 х 3 мл;;INNOAESTHETICS;INNO-DERMA;367 200;367 200;;ID114;;INNO-DERMA сыворотка для биоревитализации - интенсивный уход продолжительностью 1 месяц, который обладает мощным омолаживающим действием благодаря содержанию регенерирующих, увлажняющих и антиоксидантных компонентов.;;Испания;;
;595;Косметика;Крем для кожи вокруг глаз  (линия INNO-DERMA), 15гр;Eye Revitalizer, 15gr;15 гр;;INNOAESTHETICS;INNO-DERMA;306 000;306 000;;ID108;;Крем для зоны вокруг глаз INNO-DERMA специально разработан для устранения отеков и темных кругов, причиной появления которых является слабость мышц, дряблость кожи, скопление жидкости из-за повышения проницаемости капилляров или недостаточной циркуляции, накопления гемоглобина и разложения его продуктов в области глаз.;;Испания;;
;596;Косметика;Восстанавливающий крем для кожи лица и тела (линия INNO-DERMA), 60 гр;Skin Repair, 60gr     ;60 гр;;INNOAESTHETICS;INNO-DERMA;387 600;387 600;;ID115;;Восстанавливающий крем INNO-DERMA специально разработан для восстановления кожи. Он лечит, успокаивает и восстанавливает кожу после дерматологических и косметологических процедур, которые включают такие побочные эффекты, как остаточная поствоспалительная пигментация, отек, синяки, эритема, воспаление и т. д.;;Испания;;
;597;Косметика;Крем «Интенсивное увлажнение» для кожи лица (линия INNO-DERMA), 60гр;Advance Hydrating Cream, 60gr;60 гр;;INNOAESTHETICS;INNO-DERMA;306 000;306 000;;ID107;;Увлажняющий крем INNO-DERMA специально предназначен для ежедневного увлажнения сухой и зрелой кожи, а также кожи, которая подверглась дерматологической или косметологической процедуре. Благодаря плотной текстуре и насыщенности новейшими увлажняющими активными компонентами, крем не только обеспечивает интенсивное увлажнение кожи, но также формирует пленку, которая поддерживает гидролипидный баланс кожи.;;Испания;;
;598;Косметика;Увлажняющий флюид для жирной кожи;Light Moisturiser                                             (Oily skin) ;60 мл;;INNOAESTHETICS;INNO-DERMA;306 000;306 000;;ID126;;Легкий увлажняющий крем для жирной кожи INNO-DERMA специально разработан для борьбы с последствиями избыточной секреции сальных желез, которая может придать коже некрасивый блеск или даже вызвать акне.;;Испания;;
;599;Косметика;Солнцезащитный крем с СПФ50 + UVB/UVA;Sunblock UVP 50+;60 мл;;INNOAESTHETICS;INNO-DERMA;326 400;326 400;;ID103;;Солнцезащитный крем с SPF 50+ INNO-DERMA обеспечивает защиту кожи от солнца и агрессивного воздействия окружающей среды, которая вызывает фотостарение. Агрессивная окружающая среда вырабатывает свободные радикалы, которые повреждают клетки и вызывают их старение. В частности, реактивные формы карбонила тесно связаны с кожными высыпаниями. Они появляются в результате клеточного метаболизма (перекисное окисление липидов) после пребывания на солнце. Повреждение клеток при этом включает: ДНК, протеосомную деградацию, изменения в клетках и во внеклеточном матриксе белков. Повреждение внеклеточных белков тесно связано со старением.;;Испания;;
;600;Косметика;Солнцезащитный крем с СПФ 50+                для жирной кожи;Sunblock UVP 50+                                           (Oily Skin) ;60 мл;;INNOAESTHETICS;INNO-DERMA;326 400;326 400;;ID127;;Солнцезащитный крем с SPF 50+ INNO-DERMA обеспечивает максимальную защиту от солнечных лучей. Легко и быстро впитывается, особенно подходит для жирной кожи. Он содержит физические и химические фильтры, которые защищают кожу от УФ альфа и бета лучей.;;Испания;;
;601;Косметика;Солнцезащитная матирующая крем-пудра с  СПФ50+  для кожи лица (линия INNO-DERMA), 14гр;Coverage UVP50+, 14gr;14 гр;;INNOAESTHETICS;INNO-DERMA;469 200;469 200;;ID104;;Солнцезащитная пудра с SPF 50+ INNO-DERMA - матовая кремовая пудра, придает коже бархатистость. Пудра специально разработана в качестве декоративного средства, можно использовать как консилер - маскировать временные недостатки и побочные эффекты, которые появляются после дерматологической и косметической процедуры.;;Испания;;
;602;Косметика;Скраб для тела и лица  ;Skin Polisher (Scrub Body and Face) ;60 мл;;INNOAESTHETICS;INNO-DERMA;306 000;306 000;;ID123;;Скраб INNO-DERMA для кожи лица и тела, предназначенный для поверхностной эксфолиации корнеоцитов. Обеспечивает подготовку кожи к профессиональной процедуре.;;Испания;;
;603;Косметика;Термоактивный лосьон ;Hot&Slim ;70 мл;;INNOAESTHETICS;INNO-DERMA;346 800;346 800;;ID122;;INNO-DERMA Hot&Slim - термоактивный раствор для косметического лечения целлюлита. Смешивается с кремами для тела INNO-DERMA для усиления их действия.;;Испания;;
;604;Косметика;Крем для похудения;Slimming (Reducer Cream)  ;200 мл;;INNOAESTHETICS;INNO-DERMA;469 200;469 200;;ID118;;Крем для похудения INNO-DERMA эффективно устраняет локальные жировые отложения в проблемных зонах. Он обеспечивает профилактику, лечение и поддержание полученного результата.;;Испания;;
;605;Косметика;Крем для повышения упругости;Firming Cream;200 мл;;INNOAESTHETICS;INNO-DERMA;530 400;530 400;;ID117;;Укрепляющий крем для тела INNO-DERMA предназначен для лечения и профилактики вялости кожи тела, которая приводит к провисанию после родов, в результате старения, резкого похудения и т.д. Крем содержит комбинации активных ингредиентов, которые обладают укрепляющими, уплотняющими, тонизирующими и увлажняющими свойствами. Они активно укрепляют кожу, повышая ее эластичность.;;Испания;;
;606;Косметика;Увлажняющий лосьон для тела;Body Moisturising Lotion;200 мл;;INNOAESTHETICS;INNO-DERMA;408 000;408 000;;ID125;;Интенсивный увлажняющий крем для тела INNO-DERMA - мощный гигроскопический крем, который обеспечивает интенсивное увлажнение кожи всех типов. Крем особо рекомендуется после дерматологического и/или косметологического ухода.;;Испания;;
;607;Косметика;Двухфазное средство для удаления макияжа с глаз;BIOPTIC. BI-PHASE MAKE-UP REMOVER       ;100;;ERICSON LABORATOIRE;BIOPTIC;244 800;244 800;;Е16;;Двухфазное средство для деликатного очищения кожи век. Подходит для снятия любого типа макияжа, включая водостойкий. За счет использования дистиллята воды василька, которая обладаем великолепным успокаивающим действием, препарат можно использовать даже для гиперчувствительной кожи век. Препарат соответствует самым строгим международным критериям, предъявляемым к средствам для ухода за кожей век. ;;Франция;;
;608;Косметика;Успокаивающий лосьон;BIOPTIC. SOOTHING LOTION         ;100;;ERICSON LABORATOIRE;BIOPTIC;244 800;244 800;;E230;;Лосьон можно использовать как в качестве тоника для кожи вокруг глаз, так и в виде компресса. Уже через 10–15 минут лосьон успокоит уставшие или раздраженные глаза, снимет отечность и покраснение век, вернет ощущение свежести и комфорта. Аллантоин, настой цветов василька, экстракт плодов нефелиума и гинкго билоба оказывают противоотечное, успокаивающее, легкое антисептическое, противовоспалительное и тонизирующее действие. ;;Франция;;
;609;Косметика;Восстанавливающий концентрированный флюид ;BIOPTIC. REPAIR CONCENTRATE FLUID     ;20;;ERICSON LABORATOIRE;BIOPTIC;632 400;632 400;;Е21;;Превосходное средство для ухода за кожей вокруг глаз предотвращает раннее старение, стирает следы стресса и усталости. Биокомплекс альгизиум С увлажняет и препятствует накоплению излишнего подкожного жира и токсинов в области век, защищает от свободных радикалов. Молекула ДНК глубоко увлажняет и является безопасным натуральным УФ–фильтром. Экстракты ромашки и гинкго билоба уменьшают «круги» под глазами. Масло календулы обладает успокаивающим, антисептическим и ранозаживляющим действием. Масло жожоба и витамин Е сохраняют молодость кожи, смягчают и повышают ее эластичность. ;;Франция;;
;610;Косметика;Микро-коллагеновый лифтинг;BIOPTIC. MICRO-COLLAGEN LIFTING        ;20;;ERICSON LABORATOIRE;BIOPTIC;632 400;632 400;;Е229;;Гель содержит молекулы микро-коллагена морского происхождения, которые благодаря своему маленькому размеру способны глубоко проникать в кожу и обеспечивать постепенное разглаживание морщин и восстановление хрупкой кожи вокруг глаз. Морской эластин и вегесерил (комплекс протеинов сои) быстро и эффективно подтягивают кожу вокруг глаз, разглаживая «гусиные лапки», значительно уменьшают глубину и рельефность морщин. Экстракт гинкго билоба улучшает работу сосудов, уменьшает «круги» под глазами. Гель является великолепным anti-age средством и прекрасной основой под макияж. ;;Франция;;
;611;Косметика;Маска против мешков под глазами;BIOPTIC. BAGS REDUCER MASK          ;20;;ERICSON LABORATOIRE;BIOPTIC;510 000;510 000;;Е231;;Освежающая гель-маска обладает великолепным увлажняющим, смягчающим и освежающим действием. Эффективно выводит жидкость из межклеточного пространства, устраняет локальный венозный стаз и способствует уменьшению отечности век. Улучшает микроциркуляцию, препятствует образованию жировых грыж и темных кругов под глазами.;;Франция;;
;612;Косметика;Флюид против темных кругов под глазами;BIOPTIC. ANTI-DARK CIRCLES          ;20;;ERICSON LABORATOIRE;BIOPTIC;571 200;571 200;;Е354;;Комплексный препарат для эффективного устранения темных кругов под глазами, вызванных различными причинами. Содержит компоненты, уменьшающие отложение меланина, восстанавливающие микроциркуляцию и ускоряющие утилизацию продуктов деградации гемоглобина, просочившегося в межклеточное пространство. Уменьшает сосудистую проницаемость, укрепляет стенки сосудов. Стимулирует активность фибробластов, повышает продукцию коллагена и эластина. Благодаря этому способствует уменьшению глубины морщин, повышает эластичность и упругость кожи. Благодаря наличию в его составе натуральных растительных масел и высокой концентрации экстракта зеленого чая, великолепно питает, смягчает хрупкую кожу вокруг глаз, оказывает мощное антиоксидантное действие. Содержит светоотражающие микросферы, которые прекрасно маскируют темные круги, морщины и другие дефекты поверхности кожи. Не содержит отдушек, поэтому не раздражает нежную кожу вокруг глаз. ;;Франция;;
;613;Косметика;Фитокапсулы для усталых глаз;BIOPTIC. PHYTO CAPSULES ANTI-FATIGUE        ;50;;ERICSON LABORATOIRE;BIOPTIC;714 000;714 000;;Е232;;Витаминизированный концентрат в капсулах является настоящим нектаром, необходимым для борьбы с возрастными изменениями чувствительной кожи вокруг глаз. Небольшая капля этого замечательного средства полноценно питает кожу и разглаживает морщинки. Уникальный фито-комплекс, полученный из камелии китайской и растительных экстрактов (хвоща, нарцисса, центеллы азиатской), восстанавливает эластичность и тонус кожи вокруг глаз. Благодаря маслам семян черной смородины и бурачника, богатых витамином F, кожа становится гладкой, упругой. ;;Франция;;
;614;Косметика;Маска Би Пэтчи;BIOPTIC. BI-PATCH         ;наб.;;ERICSON LABORATOIRE;BIOPTIC;510 000;510 000;;Е860;;Стимулирует отток венозной крови и лимфы, улучшает микроциркуляцию. Устраняет отеки, мешки и темные круги под глазами. Морщинки вокруг глаз становятся менее заметными. Обладает способностью инактивировать свободные радикалы, активно противодействует старению. Придает коже свежий вид, насыщая ткани кислородом, возвращается нормальный уровень гидратации.;;Франция;;
;615;Косметика;Лосьон COLD PATCH        ;BIO-OPTIC COLD PATCH;наб.;;ERICSON LABORATOIRE;BIOPTIC;530 400;530 400;;Е815;;Уникальный многофункциональный препарат для ухода за кожей век на основе термальной воды горных ледников Швейцарии, обогащенной вытяжками из целебных растений. Натуральные экстракты огурца, василька и гаммамелиса в сочетании с действием низких температур, улучшают микроциркуляцию, ускоряют обменные процессы в клетках, восстанавливают тонус и эластичность кожи век, устраняют отеки и темные круги, замедляют старение. Препарат мгновенно устраняет симптомы усталости и освежает веки.;;Франция;;
;616;Косметика;Охлаждающая маска                ;BIO OPTIC COOL MASK;шт.;;ERICSON LABORATOIRE;BIOPTIC;530 400;530 400;;Е816;;Современное незаменимое средство для экспресс-ухода за кожей век – гелевая маска-очки. Маска многоразового использования выполнена в форме пластиковых очков из особого деликатного материала, заполненного теплоемким гелем. Маску можно использовать как охлажденной, так и теплой. Охлажденная маска устраняет отеки и способствует уменьшению тёмных кругов под глазами, устраняет дискомфорт и чувство усталости глаз. Оказывает моментальный лифтинговый эффект. Теплая маска улучшает микроциркуляцию, а также облегчает проникновение вглубь кожи активных компонентов косметических средств и усиливает их эффективность. Оказывает общее релаксирующее действие, облегчает засыпание.;;Франция;;
;617;Косметика;Мини-кит Био-Оптик (микроколлагеновый лифтинг, флюид от темных кругов, маска-гель) ;MINI-KIT BIO-OPTIC: D687 Lifting gel + D688 Mask + D689 Dark ring fluid;наб. 10+10+10;;ERICSON LABORATOIRE;BIOPTIC;346 800;346 800;;D686;;;;Франция;;
;618;Косметика;Омолаживающее молочко GENXSKIN. NUTRIGEN.;GENXSKIN. NUTRIGEN. Rejuvenating Cleansing Milk;250;;ERICSON LABORATOIRE;GENXSKIN;489 600;489 600;;E973;;;;Франция;;
;619;Косметика;Омолаживающее двухфазное очищающее масло GENXSKIN. BI-PHAGEN. ;GENXSKIN. BI-PHAGEN. Rejuvenating Bi-phase Cleansing Oil;250;;ERICSON LABORATOIRE;GENXSKIN;489 600;489 600;;Е974;;Двухфазный лосьон для очищения кожи и удаления всех видов макияжа, в том числе кремов типа «ВВ» и «СС», водостойкого макияжа, сценического грима. Благодаря своей особой формуле препарат легко удаляет декоративную косметику, не повреждая при этом гидро-липидную мантию и сохраняя функциональную целостность кожного барьера. Ген-активныйбиокомплекс уменьшает выраженность морщин, восстанавливает тонус и эластичность кожи. Экстракты василька и эдельвейса улучшают тонус кожи, смягчают и успокаивают. Препарат подходит для ежедневного использования, может применяться для ухода за гипечувствительной кожей.;;Франция;;
;620;Косметика;Омолаживающий очищающий лосьон GENXSKIN. AQUAGEN. ;GENXSKIN. AQUAGEN. Rejuvenating Cleansing Lotion;250;;ERICSON LABORATOIRE;GENXSKIN;489 600;489 600;;Е975;;Лосьон с изысканным свежим ароматом великолепно тонизирует, смягчает, успокаивает кожу и подготавливает ее к последующему нанесению косметических препаратов. Ген-активныйбиокомплекс активно борется с признаками старения, восстанавливает тонус и эластичность кожи. Экстракты василька и эдельвейса смягчают и успокаивают кожу, улучшают ее тонус, выравниванию цвет лица. Подходит для всех типов кожи.;;Франция;;
;621;Косметика;Шлифующий пилинг GENXSKIN. PERFECT SURFACER.;GENXSKIN. PERFECT SURFACER. Resurfacing Peel;50;;ERICSON LABORATOIRE;GENXSKIN;530 400;530 400;;E976;;Скраб для глубокого очищения и выравнивания поверхности кожи с мощным обновляющим и омолаживающим действием. Микро кристаллы сахара очень бережно удаляют мертвые клетки рогового слоя эпидермиса, в результате чего улучшается оксигенация тканей, обновляются клетки, заметно выравнивается цвет и рельеф кожи. После полного растворения сахарных частиц препарат приобретает нежную шелковистую консистенцию, насыщает кожу влагой и ценными питательными веществами. Натуральные масла (аннато, баобаба, ши, какао, сои) насыщают витаминами, смягчают и успокаивают кожу, стимулируют регенерацию, противостоят свободным радикалам. В результате кожа становится идеально гладкой и бархатистой на ощупь, приобретает сияющий и ухоженный вид;;Франция;;
;622;Косметика;Омолаживающая сыворотка GENXSKIN. LIFT SERUM G14. ;GENXSKIN. LIFT SERUM G14. Anti-Ageing Serum;30;;ERICSON LABORATOIRE;GENXSKIN;877 200;877 200;;Е977;;Высокотехнологичный омолаживающий препарат для реконструкции овала лица, который действует подобно скульптору, возвращая четкость линий и правильность форм. Комплекс инновационных биокомпонентов способствует восстановлению и структурному омоложению увядающей кожи, обеспечивает моментальный лифтинг, разглаживает и заметно уменьшает глубину морщин, моделирует овал лица. Сыворотка стимулирует синтез собственного коллагена, оказывает выраженное регенерирующее и увлажняющее действие, улучшает цвет кожи. Лицо приобретает более четкие очертания, и кожа выглядит значительно моложе.;;Франция;;
;623;Косметика;Очищающая антивозрастная сыворотка GENXSKIN. WHITEX SERUM. ;GENXSKIN. WHITEX SERUM. Clarifying Anti-Age Serum;30;;ERICSON LABORATOIRE;GENXSKIN;754 800;754 800;;Е978;;Сыворотка содержит высокую концентрацию активных компонентов, регулирующих выработку пигмента меланина, оказывает мощное осветляющее и омолаживающее действие. Растительные биокомплексы отбеливают пигментные пятна и предотвращают образование новых. Ген-авктивные компоненты борются с признаками старения, восстанавливают тонус и эластичность кожи. При регулярном использовании препарата заметно осветляются пигментные пятна, выравнивается тон кожи, она приобретает красивый ровный цвет и свежесть. ;;Франция;;
;624;Косметика;Мгновенный антивозрастной филлер GENXSKIN. MICRO-FILLER.;GENXSKIN. MICRO-FILLER. Instant Anti-Aging Filler;30;;ERICSON LABORATOIRE;GENXSKIN;754 800;754 800;;Е979;;Не имеющее аналогов косметическое средство мгновенного действия для создания идеальной кожи. Уникальные ультра-активные микросферы, полученные из корня коннияку, в сочетании со светоотражающими минеральными частицами заполняют морщины, расширенные поры и неровности, создавая идеально гладкую и сияющую кожу. В считанные секунды становятся незаметными дефекты поверхности и признаки старения, в результате чего кожа преображается буквально на глазах. Ген-активныйбиокомплекс запускает синтез поддерживающих молекул, восстанавливает структуру кожи и обеспечивает долговременное омолаживающее действие.;;Франция;;
;625;Косметика;Успокаивающий крем GENXSKIN. FIBRAXTINE CREAM. ;GENXSKIN. FIBRAXTINE CREAM. Confort Cream;50;;ERICSON LABORATOIRE;GENXSKIN;856 800;856 800;;Е980;;Увлажняющий крем содержит светоотражающие частицы, которые придают коже гладкость, сияние и бархатистость. Пять мощных омолаживающих комплексов оказывают стимулирующее действие на клетки кожи, восстанавливают тонус и эластичность кожи, эффективно препятствуя ее старению. При ежедневном использовании крема, кожа становится молодой и упругой, приобретает здоровое сияние и бархатистость.;;Франция;;
;626;Косметика;Питательный крем GENXSKIN. PRONUTRIX CREAM. ;GENXSKIN. PRONUTRIX CREAM. Nourishing Cream;50;;ERICSON LABORATOIRE;GENXSKIN;856 800;856 800;;Е981;;Питательный омолаживающий крем за счет ген-активных компонентов и комплекса натуральных растительных масел обладает мощным регенерирующим эффектом и стимулирует клеточное обновление. Он обеспечивает надежную защиту от действия негативных факторов внешней среды, предотвращает обезвоживание кожи и ее преждевременное увядание. Крем смягчает, интенсивно питает, устраняет шелушение и раздражение, придает ощущение необычайного комфорта. ;;Франция;;
;627;Косметика;Ночной крем GENXSKIN. MATRIXCELL CREAM. ;GENXSKIN. MATRIXCELL CREAM. High Density Night Cream;50;;ERICSON LABORATOIRE;GENXSKIN;856 800;856 800;;Е982;;Крем с мягкой текстурой и благородным ароматом благодаря необычайно высокой концентрации активных ингредиентов активно омолаживает кожу и восстанавливает овал лица во время сна. Действуя на клеточном уровне, он способствует восстановлению утраченного объема тканей и поэтому может считаться косметической альтернативой липофиллингу. ;;Франция;;
;628;Косметика;Восстанавливающая маска GENXSKIN. HIGH DENSITY MASK (3,75 гр х 6 ампул);GENXSKIN. HIGH DENSITY MASK. High Density Repairing Mask;наб.;;ERICSON LABORATOIRE;GENXSKIN;612 000;612 000;;Е983;;Маска с роскошной текстурой восстанавливает кожу, запускает процессы регенерации на клеточном уровне и обладает непревзойденным омолаживающим действием. Содержащийся в препарате кальций с высокой биодоступностью, активирует работу клеток кожи, поддерживая ее эластичность и продлевая молодость. ;;Франция;;
;629;Косметика;СС-крем GENXSKIN. N°1. Янтарно-бежевый;GENXSKIN. CC CREAM CORRECTIV N°1. Amber beige;30;;ERICSON LABORATOIRE;GENXSKIN;489 600;489 600;;Е984;;СС крем (colorcorrecting) - безупречный препарат с легкой текстурой с функцией коррекции цвета и выравнивания кожи, обладающий так же выраженным омолаживающим действием. Благодаря «умным пигментам» крем великолепно маскирует несовершенства кожи (покраснения, сосудистую сеточку, шрамы от акне) подстраиваясь под ее природный оттенок, создавая идеально ровный цвет и эффект сияния. Ген-активныйбиокомплекс укрепляют барьерную функцию кожи, стимулирует синтез коллагена, эластина, гиалуроновой кислоты, предотвращает обезвоживание, обеспечивая мощный омолаживающий эффект. Увлажняющий комплекс стимулирует синтез церамидов и собственной гиалуроновой кислоты, снижает потерю воды Витамин Е, масло ши, экстракты киви, мелиссы и магнолии питают и смягчают кожу, защищают от действия свободных радикалов.;;Франция;;
;630;Косметика;СС-крем GENXSKIN. N°2. Натуральный бежевый;GENXSKIN. CC CREAM CORRECTIV N°2. Natural Beige;30;;ERICSON LABORATOIRE;GENXSKIN;489 600;489 600;;E985;;;;Франция;;
;631;Косметика;СС-крем GENXSKIN. N°3. Розовато-бежевый;GENXSKIN. CC CREAM CORRECTIV N°3. Rose Beige;30;;ERICSON LABORATOIRE;GENXSKIN;489 600;489 600;;E986;;;;Франция;;
;632;Косметика;Мини-кит GENXSKIN : D999 Шлифующий пилинг Perfect Surfacer + D1000 Fibraxtine + D1001 Matrixcell;MINI KIT GENXSKIN : D999 Perfect Surfacer + D1000 Fibraxtine + D1001 Matrixcell;наб.;;ERICSON LABORATOIRE;GENXSKIN;346 800;346 800;;D998;;;;Франция;;
;633;Косметика;Флюид Мульти-Виталити;MЕSO-VITfluid MULTI  VITALITY FLUID ;50;;ERICSON LABORATOIRE;MESO-VIT;591 600;591 600;;Е581;;Не смотря на очень легкую текстуру флюид насыщен высокоактивными формами витаминов А, Е, С, экстрактами лекарственных растений с выраженным противовоспалительным и регенерирующим действием. Препарат эффективно подавляет воспалительные реакции и улучшает работу клеток кожи. Флюид уменьшает раздражение, покраснение и отечность кожи, восстанавливает эпидермальный барьер и оптимальный уровень увлажнения. Подходит для всех типов кожи, в том числе для очень чувствительной. Препарат применяется как базовое средство для повседневного ухода за кожей в любом возрасте. Вместе с сыворотками линии МЕЗО-ВИТ флюид рекомендуется использовать для восстановления кожи в первые дни после таких травматичных процедур, как мезотерапия, пилинги, дермабразия и др.;;Франция;;
;634;Косметика;Мульти-регенерирующий крем ;MЕSO-VITcreme MULTI REGENERATIVE CREAM ;50;;ERICSON LABORATOIRE;MESO-VIT;918 000;918 000;;Е625;;Очень нежный по текстуре и сбалансированный по составу крем насыщен ценными растительными маслами, экстрактами целебных растений, а также содержит стабильные формы витаминов «молодости» А, Е, С и уникальный биокомплексФикосахарид. Препарат активно насыщает кожу витаминами, незаменимыми жирными кислотами и другими ценными дерма-нутриентами. Он оказывает мощное регенерирующее действие, восстанавливает липидный состав эпидермиса, усиливает иммунную защиту, а также интенсивно питает, увлажняет и смягчает кожу. Крем подходит для повседневного ухода особенно в холодное время года за сухой, чувствительной и нормальной кожей в любом возрасте. Его можно использовать даже при раздраженной кожи. Вместе с сыворотками линии МЕЗО-ВИТ крем рекомендуется использовать для восстановления кожи через 2-3 дня после таких травматичных процедур, как мезотерапия, пилинги, дермабразия и др.;;Франция;;
;635;Косметика;Регенерирующая сыворотка с витамином А ;MЕSO-VITA REGENERATING SERUM + RETINOL (VIT A) ;20;;ERICSON LABORATOIRE;MESO-VIT;754 800;754 800;;Е582;;Сыворотка содержит стабильную форму витамина А и экстракты лекарственных растений, обладающих мощным регенерирующим действием. Стимулирует биосинтез коллагена и гиалуроновой кислоты в дерме, ускоряет обновление клеток эпидермиса, препятствует развитию купероза, активизирует процессы регенерации тканей. Сыворотка повышает тонус и эластичность, разглаживает морщинки, выравнивает поверхность и цвет кожи, оказывает омолаживающий эффект. Препарат можно использовать для восстановления кожи после различных медико-эстетических процедур (мезотерапия, фото- и лазеротерапия, пилинги, дермабразия и т.п.). ;;Франция;;
;636;Косметика;Осветляющая сыворотка с витамином С ;MЕSO-VITC BRIGHTENING SERUM + ASCORBIC ACID (VIT C) ;20;;ERICSON LABORATOIRE;MESO-VIT;754 800;754 800;;Е583;;Сыворотка содержит оптимальную концентрацию устойчивой к действию тепла и света формы витамина С, а также биокомплексы и растительные экстракты с мощным антиоксидантным, осветляющим и регенерирующим действием. Препарат способствует устранению гиперпигментации и выравниванию цвета кожи, повышает устойчивость клеточных мембран к окислительному стрессу и воздействию UV лучей, а также увеличивает образование коллагена. При регулярном использовании сыворотки повышается тонус и эластичность кожи, уменьшается количество и глубина морщин, а лицо приобретает восхитительный и нежный цвет.;;Франция;;
;637;Косметика;Защитная сыворотка с витамином Е ;MЕSO-VITE PROTECTIVE SERUM + TOCOPHEROL (VIT E) ;20;;ERICSON LABORATOIRE;MESO-VIT;754 800;754 800;;Е584;;Сыворотка содержит стабильную форму витамина Е, растительные экстракты с мощным антиоксидантым и восстанавливающим действием. Активные компоненты сыворотки защищают от свободных радикалов, предотвращают перекисное окисление клеточных мембран, повышают устойчивость кожи по отношению к агрессивным факторам внешней среды и активно противодействуют старению. Препарат оказывает успокаивающее действие, помогает устранить раздражение и покраснение кожи, способствует сохранению ее тонуса и эластичности. Сыворотка может применяться для регулярного ухода за кожей с целью профилактики старения, а также в периоды, когда кожа подвергается стрессу (мороз, активное UV-излучение, загрязненный воздух, перепады температуры, травматичные косметические процедуры и т.п.).;;Франция;;
;638;Косметика;Ручной электровибромассажер SKINJECTOR;MЕSO-VITskinjector skin-jections technology ;шт.;;ERICSON LABORATOIRE;MESO-VIT;510 000;510 000;;Е585;;Устройство изготовлено с использованием современных технологий и предназначено для увеличения глубины проникновения сывороток линии МЕЗО-ВИТ в кожу и оптимизации их лечебного воздействия. Рабочая поверхность устройства оснащена пластиковыми выступами, которые совершают высокочастостные вибрирующие движения. Благодаря такому вибромассажу увеличивается глубина проникновения активных компонентов наносимых на кожу косметических средств, многократно усиливается их эффективность, а также улучшается микроциркуляция и обменные процессы. ;;Франция;;
